Time,BatteryVoltage (mV),BatteryVoltage (V),BatteryCurrent (mA),BatteryCurrent (A),Temperature (C),RemainingCapacity (mAh),RemainingCapacity (Ah),FullCapacity (mAh),TimeToEmpty (min),TimeToEmpty (hrs),TimeToFull (min),TimeToFull (hrs),SOC (%),SOH (%)
14:34:17,15475,15.475,0,0.0,26.650000000000034,0,0.0,5119,65535,1092.25,65535,1092.25,0,84
14:34:19,15475,15.475,0,0.0,26.650000000000034,0,0.0,5119,65535,1092.25,65535,1092.25,0,84
14:34:21,15475,15.475,0,0.0,26.650000000000034,0,0.0,5119,65535,1092.25,65535,1092.25,0,84
14:34:23,16060,16.06,1656,1.656,26.55000000000001,0,0.0,5113,65535,1092.25,1629,27.15,0,84
14:34:25,16105,16.105,1657,1.657,26.650000000000034,0,0.0,5113,65535,1092.25,838,13.966666666666667,0,84
14:34:27,16135,16.135,1661,1.661,26.650000000000034,0,0.0,5113,65535,1092.25,608,10.133333333333333,0,84
14:34:29,16160,16.16,1663,1.663,26.650000000000034,0,0.0,5113,65535,1092.25,498,8.3,0,84
14:34:31,16185,16.185,1665,1.665,26.750000000000057,0,0.0,5113,65535,1092.25,443,7.383333333333334,0,84
14:34:33,16200,16.2,1665,1.665,26.750000000000057,0,0.0,5113,65535,1092.25,399,6.65,0,84
14:34:35,16220,16.22,1665,1.665,26.850000000000023,0,0.0,5113,65535,1092.25,369,6.15,0,84
14:34:37,16235,16.235,1667,1.667,26.950000000000045,0,0.0,5113,65535,1092.25,347,5.783333333333333,0,84
14:34:39,16255,16.255,1667,1.667,27.05000000000001,0,0.0,5113,65535,1092.25,330,5.5,0,84
14:34:41,16270,16.27,1668,1.668,27.150000000000034,0,0.0,5113,65535,1092.25,317,5.283333333333333,0,84
14:34:43,16290,16.29,1665,1.665,27.250000000000057,0,0.0,5113,65535,1092.25,306,5.1,0,84
14:34:46,16300,16.3,1666,1.666,27.350000000000023,0,0.0,5113,65535,1092.25,298,4.966666666666667,0,84
14:34:48,16315,16.315,1667,1.667,27.450000000000045,0,0.0,5113,65535,1092.25,291,4.85,0,84
14:34:50,16330,16.33,1670,1.67,27.55000000000001,0,0.0,5113,65535,1092.25,285,4.75,0,84
14:34:52,16345,16.345,1671,1.671,27.750000000000057,0,0.0,5113,65535,1092.25,281,4.683333333333334,0,84
14:34:54,16360,16.36,1672,1.672,27.850000000000023,0,0.0,5113,65535,1092.25,277,4.616666666666666,0,84
14:34:56,16375,16.375,1673,1.673,27.950000000000045,0,0.0,5113,65535,1092.25,273,4.55,0,84
14:34:58,16390,16.39,1675,1.675,28.05000000000001,0,0.0,5113,65535,1092.25,270,4.5,0,84
14:35:00,16400,16.4,1673,1.673,28.150000000000034,0,0.0,5113,65535,1092.25,268,4.466666666666667,0,84
14:35:02,16410,16.41,1673,1.673,28.250000000000057,0,0.0,5113,65535,1092.25,266,4.433333333333334,0,84
14:35:04,16425,16.425,1675,1.675,28.350000000000023,0,0.0,5113,65535,1092.25,264,4.4,0,84
14:35:06,16440,16.44,1675,1.675,28.450000000000045,0,0.0,5113,65535,1092.25,262,4.366666666666666,0,84
14:35:08,16450,16.45,1677,1.677,28.55000000000001,0,0.0,5113,65535,1092.25,261,4.35,0,84
14:35:10,16465,16.465,1675,1.675,28.750000000000057,0,0.0,5113,65535,1092.25,260,4.333333333333333,0,84
14:35:12,16475,16.475,1677,1.677,28.750000000000057,0,0.0,5113,65535,1092.25,259,4.316666666666666,0,84
14:35:14,16490,16.49,1677,1.677,28.950000000000045,0,0.0,5113,65535,1092.25,258,4.3,0,84
14:35:16,16500,16.5,1679,1.679,29.05000000000001,0,0.0,5113,65535,1092.25,257,4.283333333333333,0,84
14:35:18,16510,16.51,1679,1.679,29.150000000000034,0,0.0,5113,65535,1092.25,257,4.283333333333333,0,84
14:35:20,16520,16.52,1679,1.679,29.250000000000057,0,0.0,5113,65535,1092.25,256,4.266666666666667,0,84
14:35:22,16530,16.53,1680,1.68,29.350000000000023,0,0.0,5113,65535,1092.25,255,4.25,0,84
14:35:24,16545,16.545,1680,1.68,29.450000000000045,0,0.0,5113,65535,1092.25,255,4.25,0,84
