Time,Time Counter,Voltage (V),Current (mA),Current (A),Wattage (W)
14:33:51,1,-0.2,-1.2,-0.001,0.0
14:33:53,3,-0.2,-2.5,-0.003,0.0
14:33:55,5,-0.2,-1.2,-0.001,0.0
14:33:57,7,-0.2,-2.5,-0.003,0.0
14:33:59,9,-0.2,-1.2,-0.001,0.0
14:34:01,11,-0.2,-1.2,-0.001,0.0
14:34:03,13,-0.2,-1.2,-0.001,0.0
14:34:05,15,-0.2,-2.5,-0.003,0.0
14:34:07,17,-0.2,-1.2,-0.001,0.0
14:34:09,19,-0.2,-1.2,-0.001,0.0
14:34:11,21,-0.2,-2.5,-0.003,0.0
14:34:13,23,-0.2,-1.2,-0.001,0.0
14:34:15,25,-0.2,-2.5,-0.003,0.0
14:34:17,27,-0.2,-2.5,-0.003,0.0
14:34:19,29,-0.2,-1.2,-0.001,0.0
14:34:21,31,-0.2,-1.2,-0.001,0.0
14:34:23,33,20.09,1593.8,1.594,32.02
14:34:25,35,20.09,1603.8,1.604,32.21
14:34:27,37,20.09,1610.0,1.61,32.34
14:34:29,39,20.09,1620.0,1.62,32.54
14:34:31,41,20.09,1620.0,1.62,32.55
14:34:33,43,20.09,1622.5,1.623,32.6
14:34:35,45,20.09,1618.8,1.619,32.52
14:34:37,47,20.09,1623.8,1.624,32.62
14:34:39,49,20.09,1627.5,1.627,32.69
14:34:41,51,20.09,1630.0,1.63,32.75
14:34:43,53,20.09,1628.8,1.629,32.72
14:34:45,55,20.09,1631.3,1.631,32.77
14:34:47,57,20.09,1635.0,1.635,32.84
14:34:49,59,20.09,1631.3,1.631,32.77
14:34:51,61,20.09,1637.5,1.637,32.9
14:34:53,63,20.09,1641.3,1.641,32.97
14:34:55,65,20.09,1643.8,1.644,33.03
14:34:57,67,20.09,1640.0,1.64,32.95
14:34:59,69,20.09,1642.5,1.643,33.0
14:35:01,71,20.09,1650.0,1.65,33.15
14:35:03,73,20.09,1651.3,1.651,33.18
14:35:05,75,20.09,1653.8,1.654,33.22
14:35:07,77,20.09,1653.8,1.654,33.23
14:35:09,79,20.09,1651.3,1.651,33.17
14:35:11,81,20.09,1653.8,1.654,33.23
14:35:13,83,20.09,1658.8,1.659,33.33
14:35:15,85,20.09,1658.8,1.659,33.33
14:35:17,87,20.09,1660.0,1.66,33.35
14:35:19,89,20.09,1662.5,1.663,33.4
14:35:21,91,20.09,1660.0,1.66,33.35
14:35:23,93,20.09,1663.8,1.664,33.43
14:35:25,95,20.09,1670.0,1.67,33.56
14:35:27,97,20.09,1665.0,1.665,33.45
14:35:29,99,20.09,1662.5,1.663,33.4
14:35:31,101,20.09,1667.5,1.667,33.51
14:35:33,103,20.09,1670.0,1.67,33.55
14:35:35,105,20.09,1672.5,1.673,33.6
14:35:37,107,20.09,1670.0,1.67,33.55
14:35:39,109,20.09,1675.0,1.675,33.66
14:35:41,111,20.09,1673.8,1.674,33.63
14:35:43,113,20.09,1676.3,1.676,33.69
14:35:45,115,20.09,1676.3,1.676,33.68
14:35:47,117,20.09,1676.3,1.676,33.68
14:35:49,119,20.09,1675.0,1.675,33.65
14:35:51,121,20.09,1676.3,1.676,33.68
14:35:53,123,20.09,1673.8,1.674,33.63
14:35:55,125,20.09,1676.3,1.676,33.68
14:35:57,127,20.09,1675.0,1.675,33.66
14:35:59,129,20.09,1675.0,1.675,33.66
14:36:01,131,20.09,1675.0,1.675,33.65
14:36:03,133,20.09,1673.8,1.674,33.63
14:36:05,135,20.09,1675.0,1.675,33.66
14:36:07,137,20.09,1676.3,1.676,33.68
14:36:09,139,20.09,1668.8,1.669,33.53
14:36:11,141,20.09,1675.0,1.675,33.66
14:36:13,143,20.09,1672.5,1.673,33.61
14:36:15,145,20.09,1673.8,1.674,33.63
14:36:17,147,20.09,1675.0,1.675,33.66
14:36:19,149,20.09,1671.3,1.671,33.58
14:36:21,151,20.09,1675.0,1.675,33.65
14:36:23,153,20.09,1672.5,1.673,33.61
14:36:25,155,20.1,1675.0,1.675,33.66
14:36:27,157,20.09,1673.8,1.674,33.63
14:36:29,159,20.09,1675.0,1.675,33.66
14:36:31,161,20.09,1675.0,1.675,33.65
14:36:33,163,20.1,1675.0,1.675,33.66
14:36:35,165,20.1,1671.3,1.671,33.59
14:36:37,167,20.09,1670.0,1.67,33.56
14:36:39,169,20.09,1672.5,1.673,33.61
14:36:41,171,20.1,1671.3,1.671,33.59
14:36:43,173,20.09,1671.3,1.671,33.58
14:36:45,175,20.09,1672.5,1.673,33.61
14:36:47,177,20.1,1672.5,1.673,33.62
14:36:49,179,20.09,1671.3,1.671,33.58
14:36:51,181,20.09,1670.0,1.67,33.56
14:36:53,183,20.09,1671.3,1.671,33.58
14:36:55,185,20.1,1671.3,1.671,33.59
14:36:57,187,20.1,1675.0,1.675,33.67
14:36:59,189,20.09,1672.5,1.673,33.61
14:37:01,191,20.1,1671.3,1.671,33.59
14:37:03,193,20.1,1672.5,1.673,33.62
14:37:05,195,20.1,1670.0,1.67,33.56
14:37:07,197,20.09,1671.3,1.671,33.58
14:37:09,199,20.09,1672.5,1.673,33.61
14:37:11,201,20.1,1673.8,1.674,33.64
14:37:13,203,20.1,1670.0,1.67,33.56
14:37:15,205,20.1,1672.5,1.673,33.61
14:37:17,207,20.1,1671.3,1.671,33.59
14:37:19,209,20.1,1672.5,1.673,33.62
14:37:21,211,20.1,1670.0,1.67,33.56
14:37:23,213,20.1,1671.3,1.671,33.59
14:37:25,215,20.1,1668.8,1.669,33.54
14:37:27,217,20.1,1670.0,1.67,33.57
14:37:29,219,20.1,1671.3,1.671,33.59
14:37:31,221,20.1,1670.0,1.67,33.57
14:37:33,223,20.1,1671.3,1.671,33.59
14:37:35,225,20.1,1672.5,1.673,33.61
14:37:37,227,20.1,1670.0,1.67,33.56
14:37:39,229,20.1,1671.3,1.671,33.59
14:37:41,231,20.1,1671.3,1.671,33.6
14:37:43,233,20.1,1667.5,1.667,33.51
14:37:45,235,20.1,1672.5,1.673,33.62
14:37:47,237,20.1,1670.0,1.67,33.56
14:37:49,239,20.1,1670.0,1.67,33.56
14:37:51,241,20.1,1671.3,1.671,33.6
14:37:53,243,20.1,1671.3,1.671,33.59
14:37:55,245,20.1,1670.0,1.67,33.56
14:37:57,247,20.1,1670.0,1.67,33.56
14:37:59,249,20.1,1668.8,1.669,33.54
14:38:01,251,20.1,1670.0,1.67,33.56
14:38:03,253,20.1,1670.0,1.67,33.57
14:38:05,255,20.1,1668.8,1.669,33.54
14:38:07,257,20.1,1670.0,1.67,33.57
14:38:09,259,20.1,1673.8,1.674,33.64
14:38:11,261,20.1,1671.3,1.671,33.59
14:38:13,263,20.1,1670.0,1.67,33.57
14:38:15,265,20.1,1671.3,1.671,33.6
14:38:17,267,20.1,1671.3,1.671,33.6
14:38:19,269,20.1,1670.0,1.67,33.57
14:38:21,271,20.1,1671.3,1.671,33.59
14:38:23,273,20.1,1668.8,1.669,33.54
14:38:25,275,20.1,1671.3,1.671,33.6
14:38:27,277,20.1,1670.0,1.67,33.57
14:38:29,279,20.1,1667.5,1.667,33.52
14:38:31,281,20.1,1666.3,1.666,33.5
14:38:33,283,20.1,1668.8,1.669,33.54
14:38:35,285,20.1,1673.8,1.674,33.64
14:38:37,287,20.1,1672.5,1.673,33.62
14:38:39,289,20.1,1670.0,1.67,33.57
14:38:41,291,20.1,1668.8,1.669,33.54
14:58:01,1,20.13,1663.8,1.664,33.49
14:58:03,3,20.13,1662.5,1.663,33.47
14:58:05,5,20.13,1663.8,1.664,33.5
14:58:07,7,20.13,1665.0,1.665,33.52
14:58:09,9,20.13,1662.5,1.663,33.47
14:58:11,11,20.13,1661.3,1.661,33.45
14:58:13,13,20.13,1665.0,1.665,33.52
14:58:15,15,20.13,1661.3,1.661,33.44
14:58:17,17,20.13,1661.3,1.661,33.45
14:58:19,19,20.13,1663.8,1.664,33.5
14:58:21,21,20.13,1663.8,1.664,33.5
14:58:23,23,20.13,1661.3,1.661,33.45
14:58:25,25,20.13,1662.5,1.663,33.47
14:58:27,27,20.13,1662.5,1.663,33.46
14:58:29,29,20.13,1663.8,1.664,33.49
14:58:31,31,20.13,1663.8,1.664,33.49
14:58:33,33,20.13,1663.8,1.664,33.49
14:58:35,35,20.13,1665.0,1.665,33.52
14:58:37,37,20.13,1660.0,1.66,33.42
14:58:39,39,20.13,1661.3,1.661,33.45
14:58:41,41,20.13,1661.3,1.661,33.44
14:58:43,43,20.13,1666.3,1.666,33.54
14:58:45,45,20.13,1662.5,1.663,33.47
14:58:47,47,20.13,1665.0,1.665,33.52
14:58:49,49,20.13,1662.5,1.663,33.47
14:58:51,51,20.13,1661.3,1.661,33.45
14:58:53,53,20.13,1662.5,1.663,33.47
14:58:55,55,20.13,1661.3,1.661,33.44
14:58:57,57,20.13,1660.0,1.66,33.42
14:58:59,59,20.13,1658.8,1.659,33.39
14:59:01,61,20.13,1663.8,1.664,33.49
14:59:03,63,20.13,1661.3,1.661,33.45
14:59:05,65,20.13,1662.5,1.663,33.47
14:59:07,67,20.13,1662.5,1.663,33.47
14:59:09,69,20.13,1660.0,1.66,33.42
14:59:11,71,20.13,1661.3,1.661,33.45
14:59:13,73,20.13,1658.8,1.659,33.4
14:59:15,75,20.13,1662.5,1.663,33.47
14:59:17,77,20.13,1663.8,1.664,33.5
14:59:19,79,20.13,1661.3,1.661,33.44
14:59:21,81,20.13,1663.8,1.664,33.49
14:59:23,83,20.13,1662.5,1.663,33.47
14:59:25,85,20.13,1662.5,1.663,33.47
14:59:27,87,20.13,1661.3,1.661,33.44
14:59:29,89,20.13,1660.0,1.66,33.42
14:59:31,91,20.13,1658.8,1.659,33.39
14:59:33,93,20.13,1658.8,1.659,33.4
14:59:35,95,20.13,1661.3,1.661,33.45
